date,home,away,score_home,score_away,moneyline_home,moneyline_away,home_decimal,away_decimal,home_implied_prob,away_implied_prob,spread,total,home_last5_winrate,away_last5_winrate,home_win
2007-10-30,sa,por,106,97,-1400.0,900.0,1.0714285714285714,10.0,0.9333333333333333,0.1,13.0,189.5,0.5,0.5,1
2007-10-30,gs,utah,96,117,-120.0,100.0,1.8333333333333335,2.0,0.5454545454545454,0.5,1.0,212.0,0.5,0.5,0
2007-10-30,lal,hou,93,95,190.0,-230.0,2.9,1.434782608695652,0.3448275862068966,0.696969696969697,5.0,199.0,0.5,0.5,0
2007-10-31,den,okc,120,103,-825.0,625.0,1.121212121212121,7.25,0.891891891891892,0.13793103448275862,11.5,217.5,0.5,0.5,1
2007-10-31,mem,sa,101,104,210.0,-250.0,3.1,1.4,0.3225806451612903,0.7142857142857143,6.5,201.0,0.5,1.0,0
2007-10-31,cle,dal,74,92,120.0,-140.0,2.2,1.7142857142857144,0.45454545454545453,0.5833333333333333,2.5,184.0,0.5,0.5,0
2007-10-31,no,sac,104,90,-525.0,425.0,1.1904761904761905,5.25,0.84,0.19047619047619047,9.5,190.5,0.5,0.5,1
2007-10-31,orl,mil,102,83,-295.0,245.0,1.3389830508474576,3.45,0.7468354430379747,0.2898550724637681,6.5,197.0,0.5,0.5,1
2007-10-31,ind,wsh,119,110,105.0,-125.0,2.05,1.8,0.48780487804878053,0.5555555555555556,1.5,203.5,0.5,0.5,1
2007-10-31,tor,phi,106,97,-305.0,255.0,1.3278688524590163,3.55,0.7530864197530864,0.28169014084507044,6.5,191.0,0.5,0.5,1
2007-10-31,bkn,chi,112,103,-125.0,105.0,1.8,2.05,0.5555555555555556,0.48780487804878053,1.5,186.0,0.5,0.5,1
2007-11-01,mia,det,80,91,160.0,-190.0,2.6,1.526315789473684,0.3846153846153846,0.6551724137931035,4.0,178.5,0.5,0.5,0
2007-11-01,utah,hou,95,106,-160.0,140.0,1.625,2.4,0.6153846153846154,0.4166666666666667,3.0,193.0,1.0,1.0,0
2007-11-01,okc,phx,99,106,575.0,-725.0,6.75,1.1379310344827587,0.14814814814814814,0.8787878787878788,12.0,224.5,0.0,0.5,0
2007-11-02,min,den,91,99,315.0,-375.0,4.15,1.2666666666666666,0.24096385542168672,0.7894736842105263,7.5,208.5,0.5,1.0,0
2007-11-02,lac,gs,120,114,-125.0,105.0,1.8,2.05,0.5555555555555556,0.48780487804878053,1.5,211.0,0.5,0.0,1
2007-11-02,phx,lal,98,119,-435.0,365.0,1.2298850574712643,4.65,0.8130841121495328,0.2150537634408602,8.0,215.5,1.0,0.0,0
2007-11-02,sa,sac,96,80,-2000.0,1200.0,1.05,13.0,0.9523809523809523,0.07692307692307693,14.5,191.0,1.0,0.0,1
2007-11-02,chi,phi,85,96,-500.0,400.0,1.2,5.0,0.8333333333333334,0.2,9.5,190.0,0.0,0.0,0
2007-11-02,no,por,113,93,-325.0,275.0,1.3076923076923077,3.75,0.7647058823529411,0.26666666666666666,7.5,203.0,1.0,0.0,1
2007-11-02,atl,dal,101,94,210.0,-250.0,3.1,1.4,0.3225806451612903,0.7142857142857143,5.5,191.0,0.5,1.0,1
2007-11-02,cle,ny,110,106,-250.0,210.0,1.4,3.1,0.7142857142857143,0.3225806451612903,6.0,186.0,0.0,0.5,1
2007-11-02,bkn,tor,69,106,-175.0,155.0,1.5714285714285714,2.55,0.6363636363636364,0.3921568627450981,4.0,193.5,1.0,1.0,0
2007-11-02,ind,mia,87,85,-275.0,235.0,1.3636363636363638,3.35,0.7333333333333333,0.29850746268656714,6.5,192.0,1.0,0.0,1
2007-11-02,orl,det,92,116,-170.0,150.0,1.5882352941176472,2.5,0.6296296296296295,0.4,4.0,183.5,1.0,1.0,0
2007-11-02,cha,mil,102,99,-170.0,150.0,1.5882352941176472,2.5,0.6296296296296295,0.4,4.0,196.5,0.5,0.0,1
2007-11-02,bos,wsh,103,83,-335.0,285.0,1.2985074626865671,3.85,0.7701149425287357,0.2597402597402597,7.5,205.5,0.5,0.0,1
2007-11-03,utah,gs,133,110,-550.0,425.0,1.1818181818181819,5.25,0.8461538461538461,0.19047619047619047,9.5,215.5,0.5,0.0,1
2007-11-03,dal,sac,123,102,-3000.0,1500.0,1.0333333333333334,16.0,0.9677419354838709,0.0625,15.5,189.0,0.5,0.0,1
2007-11-03,hou,por,89,80,-1000.0,700.0,1.1,8.0,0.9090909090909091,0.125,11.5,203.0,1.0,0.0,1
2007-11-03,mem,ind,111,121,-220.0,180.0,1.4545454545454546,2.8,0.6875,0.35714285714285715,5.5,211.5,0.0,1.0,0
2007-11-03,wsh,orl,82,94,-130.0,110.0,1.7692307692307692,2.1,0.5652173913043479,0.47619047619047616,1.0,197.5,0.0,0.5,0
2007-11-03,phi,bkn,88,93,130.0,-150.0,2.3,1.6666666666666665,0.4347826086956522,0.6000000000000001,3.0,186.5,0.5,0.5,0
2007-11-03,mil,chi,78,72,155.0,-175.0,2.55,1.5714285714285714,0.3921568627450981,0.6363636363636364,4.0,193.0,0.0,0.0,1
2007-11-04,den,no,88,93,-215.0,185.0,1.4651162790697674,2.85,0.6825396825396826,0.3508771929824561,5.0,214.5,1.0,1.0,0
2007-11-04,lal,utah,119,109,-115.0,-105.0,1.8695652173913042,1.9523809523809523,0.5348837209302326,0.5121951219512195,1.0,205.5,0.5,0.6666666666666666,1
2007-11-04,phx,cle,103,92,-350.0,290.0,1.2857142857142856,3.9,0.7777777777777779,0.25641025641025644,7.5,205.0,0.5,0.5,1
2007-11-04,det,atl,92,91,-350.0,290.0,1.2857142857142856,3.9,0.7777777777777779,0.25641025641025644,8.0,191.0,1.0,1.0,1
2007-11-04,lac,okc,115,101,-300.0,250.0,1.3333333333333333,3.5,0.75,0.2857142857142857,6.5,208.0,1.0,0.0,1
2007-11-04,ny,min,97,93,-425.0,355.0,1.2352941176470589,4.55,0.8095238095238095,0.21978021978021978,9.0,193.0,0.0,0.0,1
2007-11-04,mia,cha,88,90,-160.0,140.0,1.625,2.4,0.6153846153846154,0.4166666666666667,3.5,186.5,0.0,1.0,0
2007-11-04,tor,bos,95,98,-125.0,105.0,1.8,2.05,0.5555555555555556,0.48780487804878053,1.5,194.0,1.0,1.0,0
2007-11-05,dal,hou,107,98,-200.0,170.0,1.5,2.7,0.6666666666666666,0.37037037037037035,4.5,189.5,0.6666666666666666,1.0,1
2007-11-06,lal,no,104,118,-155.0,135.0,1.6451612903225805,2.35,0.607843137254902,0.425531914893617,3.0,205.5,0.6666666666666666,1.0,0
2007-11-06,gs,cle,104,108,-135.0,115.0,1.7407407407407407,2.15,0.574468085106383,0.46511627906976744,2.0,209.5,0.0,0.3333333333333333,0
2007-11-06,sac,okc,104,98,-130.0,110.0,1.7692307692307692,2.1,0.5652173913043479,0.47619047619047616,2.0,208.0,0.0,0.0,1
2007-11-06,chi,lac,91,97,-405.0,335.0,1.2469135802469136,4.35,0.801980198019802,0.2298850574712644,8.5,193.0,0.0,1.0,0
2007-11-06,hou,sa,89,81,115.0,-135.0,2.15,1.7407407407407407,0.46511627906976744,0.574468085106383,2.0,183.5,0.75,1.0,1
2007-11-06,mil,tor,112,85,140.0,-160.0,2.4,1.625,0.4166666666666667,0.6153846153846154,3.0,190.0,0.3333333333333333,0.6666666666666666,1
2007-11-06,min,orl,103,111,250.0,-300.0,3.5,1.3333333333333333,0.2857142857142857,0.75,6.5,186.5,0.0,0.6666666666666666,0
2007-11-06,ny,den,119,112,140.0,-160.0,2.4,1.625,0.4166666666666667,0.6153846153846154,3.0,211.0,0.5,0.6666666666666666,1
2007-11-06,bkn,atl,87,82,-190.0,160.0,1.526315789473684,2.6,0.6551724137931035,0.3846153846153846,4.0,188.5,0.6666666666666666,0.5,1
2007-11-06,cha,phx,83,115,165.0,-195.0,2.65,1.5128205128205128,0.37735849056603776,0.6610169491525424,4.0,207.0,1.0,0.6666666666666666,0
2007-11-07,okc,mem,98,105,-110.0,-110.0,1.9090909090909092,1.9090909090909092,0.5238095238095238,0.5238095238095238,0.0,218.5,0.0,0.0,0
2007-11-07,por,no,93,90,125.0,-145.0,2.25,1.6896551724137931,0.4444444444444444,0.5918367346938775,2.5,201.5,0.0,1.0,1
2007-11-07,utah,cle,103,101,-500.0,400.0,1.2,5.0,0.8333333333333334,0.2,9.0,194.5,0.5,0.5,1
